Cabeca, Sala + Corredor Frente, Sala Antiga + Lavabo + Corredor Quartos, Sala Antiga + Lavabo + Corredor Quartos, Banheiro Meio, Banheiro Suite, Fundo, Fundo, Fundo, Garagem + Frente, Garagem + Frente, Salol + Cozinha, Salol + Cozinha, Lavanderia + Banheiro Fundo, Lavanderia + Banheiro Fundo
Cafe, Sala + Corredor Frente, Sala Antiga + Lavabo + Corredor Quartos, Sala Antiga + Lavabo + Corredor Quartos, Banheiro Meio, Banheiro Suite, Fundo, Fundo, Fundo, Garagem + Frente, Garagem + Frente, Salol + Cozinha, Salol + Cozinha, Lavanderia + Banheiro Fundo, Lavanderia + Banheiro Fundo
Bordel, Sala + Corredor Frente, Sala Antiga + Lavabo + Corredor Quartos, Sala Antiga + Lavabo + Corredor Quartos, Banheiro Meio, Banheiro Suite, Fundo, Fundo, Fundo, Garagem + Frente, Garagem + Frente, Salol + Cozinha, Salol + Cozinha, Lavanderia + Banheiro Fundo, Lavanderia + Banheiro Fundo
Filhinho, Sala + Corredor Frente, Sala Antiga + Lavabo + Corredor Quartos, Sala Antiga + Lavabo + Corredor Quartos, Banheiro Meio, Banheiro Suite, Fundo, Fundo, Fundo, Garagem + Frente, Garagem + Frente, Salol + Cozinha, Salol + Cozinha, Lavanderia + Banheiro Fundo, Lavanderia + Banheiro Fundo
Jucelio, Sala + Corredor Frente, Sala Antiga + Lavabo + Corredor Quartos, Sala Antiga + Lavabo + Corredor Quartos, Banheiro Meio, Banheiro Suite, Fundo, Fundo, Fundo, Garagem + Frente, Garagem + Frente, Salol + Cozinha, Salol + Cozinha, Lavanderia + Banheiro Fundo, Lavanderia + Banheiro Fundo
Marcola, Sala + Corredor Frente, Sala Antiga + Lavabo + Corredor Quartos, Sala Antiga + Lavabo + Corredor Quartos, Banheiro Meio, Banheiro Suite, Fundo, Fundo, Fundo, Garagem + Frente, Garagem + Frente, Salol + Cozinha, Salol + Cozinha, Lavanderia + Banheiro Fundo, Lavanderia + Banheiro Fundo
Tietz, Sala + Corredor Frente, Sala Antiga + Lavabo + Corredor Quartos, Sala Antiga + Lavabo + Corredor Quartos, Banheiro Meio, Banheiro Suite, Fundo, Fundo, Fundo, Garagem + Frente, Garagem + Frente, Salol + Cozinha, Salol + Cozinha, Lavanderia + Banheiro Fundo, Lavanderia + Banheiro Fundo
Moises, Sala + Corredor Frente, Sala Antiga + Lavabo + Corredor Quartos, Sala Antiga + Lavabo + Corredor Quartos, Banheiro Meio, Banheiro Suite, Fundo, Fundo, Fundo, Garagem + Frente, Garagem + Frente, Salol + Cozinha, Salol + Cozinha, Lavanderia + Banheiro Fundo, Lavanderia + Banheiro Fundo
Penado, Sala + Corredor Frente, Sala Antiga + Lavabo + Corredor Quartos, Sala Antiga + Lavabo + Corredor Quartos, Banheiro Meio, Banheiro Suite, Fundo, Fundo, Fundo, Garagem + Frente, Garagem + Frente, Salol + Cozinha, Salol + Cozinha, Lavanderia + Banheiro Fundo, Lavanderia + Banheiro Fundo
Tesouro, Sala + Corredor Frente, Sala Antiga + Lavabo + Corredor Quartos, Sala Antiga + Lavabo + Corredor Quartos, Banheiro Meio, Banheiro Suite, Fundo, Fundo, Fundo, Garagem + Frente, Garagem + Frente, Salol + Cozinha, Salol + Cozinha, Lavanderia + Banheiro Fundo, Lavanderia + Banheiro Fundo
Desisto, Sala + Corredor Frente, Sala Antiga + Lavabo + Corredor Quartos, Sala Antiga + Lavabo + Corredor Quartos, Banheiro Meio, Banheiro Suite, Fundo, Fundo, Fundo, Garagem + Frente, Garagem + Frente, Salol + Cozinha, Salol + Cozinha, Lavanderia + Banheiro Fundo, Lavanderia + Banheiro Fundo
P2, Sala + Corredor Frente, Sala Antiga + Lavabo + Corredor Quartos, Sala Antiga + Lavabo + Corredor Quartos, Banheiro Meio, Banheiro Suite, Fundo, Fundo, Fundo, Garagem + Frente, Garagem + Frente, Salol + Cozinha, Salol + Cozinha, Lavanderia + Banheiro Fundo, Lavanderia + Banheiro Fundo
P1, Sala + Corredor Frente, Sala Antiga + Lavabo + Corredor Quartos, Sala Antiga + Lavabo + Corredor Quartos, Banheiro Meio, Banheiro Suite, Fundo, Fundo, Fundo, Garagem + Frente, Garagem + Frente, Salol + Cozinha, Salol + Cozinha, Lavanderia + Banheiro Fundo, Lavanderia + Banheiro Fundo
Teresa, Sala + Corredor Frente, Sala Antiga + Lavabo + Corredor Quartos, Sala Antiga + Lavabo + Corredor Quartos, Banheiro Meio, Banheiro Suite, Fundo, Fundo, Fundo, Garagem + Frente, Garagem + Frente, Salol + Cozinha, Salol + Cozinha, Lavanderia + Banheiro Fundo, Lavanderia + Banheiro Fundo
